SG,TBP(K),MW
0.631,306,76
0.7135,372,99
0.7205,365,96
0.7293,373,100
0.6786,329,82
0.7092,356,92
0.6825,332,83
0.7264,373,99
0.7205,365,96
0.6825,332,83
0.6885,338,85
0.6913,346,88
0.6968,346,89
0.7415,385,105
0.712,363,97
0.8199,492,161
0.8155,488,160
0.8323,550,204
0.8487,602,244
0.8332,539,192
0.8563,594,242
0.8569,575,221
0.8577,601,242
0.8624,632,277
0.8576,592,229
0.8646,589,231
0.8642,641,288
0.8663,644,291
0.879,619,264
0.8767,635,277
0.8846,638,279
0.8697,669,326
0.8447,704,388
0.9714,890,720
0.9605,854,617
1.0174,898,726
1.0803,990,1106
1.0604,973,1020
0.7344,447,142
0.7924,617,282
0.8133,723,423
0.824,798,563
0.8349,894,844
0.8438,988,1405
0.846,1012,1685
0.7509,322,70
0.7742,374,98
0.8262,601,253
0.8355,696,365
0.8684,481,152
0.8719,384,92
0.8643,457,134
0.8594,732,415
0.8589,804,555
0.8583,895,836
0.993,598,214
0.9274,519,160
0.9894,554,182
1.0095,514,142
0.9808,579,198
0.9146,733,381
1.088,667,234
0.9849,626,246
0.7773,560,226
0.7849,558,224
0.7054,367,95
0.6315,309,72
0.8842,353,78
1.1762,612,178
1.3793,798,300
