MW,SG,TBP,Fit_Mw,Fit_Resid
76.0,0.631,306.0,99.1570262284315,23.157026228431505
99.0,0.7135,372.0,66.99841579314489,-32.001584206855114
96.0,0.7205,365.0,78.55507393698622,-17.44492606301378
100.0,0.7293,373.0,75.73089487495986,-24.26910512504014
82.0,0.6786,329.0,99.60428586310036,17.60428586310036
92.0,0.7092,356.0,81.6513652749436,-10.3486347250564
83.0,0.6825,332.0,97.54067659563248,14.540676595632476
99.0,0.7264,373.0,73.96608762809637,-25.033912371903625
96.0,0.7205,365.0,78.55507393698622,-17.44492606301378
83.0,0.6825,332.0,97.54067659563248,14.540676595632476
85.0,0.6885,338.0,92.19442694511827,7.194426945118266
88.0,0.6913,346.0,81.83004779875705,-6.16995220124295
89.0,0.6968,346.0,86.24892066566463,-2.7510793343353726
105.0,0.7415,385.0,72.324483033766,-32.675516966234
97.0,0.712,363.0,75.1140613619832,-21.885938638016796
161.0,0.8199,492.0,100.58223762310945,-60.41776237689055
160.0,0.8155,488.0,97.58906749969242,-62.41093250030758
204.0,0.8323,550.0,161.08228679845456,-42.91771320154544
244.0,0.8487,602.0,236.89692149785697,-7.103078502143035
192.0,0.8332,539.0,146.72616044957294,-45.273839550427056
242.0,0.8563,594.0,220.88946510813093,-21.110534891869065
221.0,0.8569,575.0,190.863250143826,-30.136749856173992
242.0,0.8577,601.0,232.12517260712093,-9.87482739287907
277.0,0.8624,632.0,286.0924482574678,9.092448257467822
229.0,0.8576,592.0,217.20179120216198,-11.798208797838015
231.0,0.8646,589.0,210.20238292522913,-20.79761707477087
288.0,0.8642,641.0,302.6265129417784,14.626512941778401
291.0,0.8663,644.0,307.56896808809006,16.56896808809006
264.0,0.879,619.0,255.62062399579963,-8.379376004200367
277.0,0.8767,635.0,285.7767038014176,8.776703801417625
279.0,0.8846,638.0,288.0640417100626,9.064041710062611
326.0,0.8697,669.0,356.73617147999994,30.73617147999994
388.0,0.8447,704.0,447.4250222857527,59.425022285752675
720.0,0.9714,890.0,833.8862743102245,113.88627431022451
617.0,0.9605,854.0,744.7837189391685,127.78371893916847
726.0,1.0174,898.0,816.9194198997548,90.91941989975476
1106.0,1.0803,990.0,1018.6886637959092,-87.31133620409082
1020.0,1.0604,973.0,988.5607714677085,-31.43922853229151
142.0,0.7344,447.0,64.34741174657688,-77.65258825342312
282.0,0.7924,617.0,284.9186988854458,2.9186988854457923
423.0,0.8133,723.0,511.14221132041484,88.14221132041484
563.0,0.824,798.0,697.981348051128,134.98134805112795
844.0,0.8349,894.0,960.5565377900334,116.55653779003342
1405.0,0.8438,988.0,1236.6487564504655,-168.3512435495345
1685.0,0.846,1012.0,1309.4245974563241,-375.57540254367586
70.0,0.7509,322.0,186.6175899446273,116.6175899446273
98.0,0.7742,374.0,101.79260322518712,3.792603225187122
253.0,0.8262,601.0,242.79884045470862,-10.201159545291375
365.0,0.8355,696.0,434.0778475739221,69.0778475739221
152.0,0.8684,481.0,95.42239631135112,-56.57760368864888
92.0,0.8719,384.0,143.11622517679643,51.11622517679643
134.0,0.8643,457.0,89.35508997164106,-44.644910028358936
415.0,0.8594,732.0,505.0159065079506,90.0159065079506
555.0,0.8589,804.0,688.7632688877989,133.76326888779886
836.0,0.8583,895.0,943.64901623162,107.64901623161995
214.0,0.993,598.0,182.27869022759182,-31.721309772408176
160.0,0.9274,519.0,115.21935762242765,-44.78064237757235
182.0,0.9894,554.0,133.95781310350162,-48.04218689649838
142.0,1.0095,514.0,105.59369940846273,-36.406300591537274
198.0,0.9808,579.0,162.21543882362676,-35.784561176373245
381.0,0.9146,733.0,473.31984232785817,92.31984232785817
234.0,1.088,667.0,245.10304068725645,11.103040687256453
246.0,0.9849,626.0,225.74099421694882,-20.25900578305118
226.0,0.7773,560.0,187.37804309169633,-38.62195690830367
224.0,0.7849,558.0,182.53037803284928,-41.469621967150715
95.0,0.7054,367.0,66.54335077852829,-28.456649221471707
72.0,0.6315,309.0,92.79263780388351,20.79263780388351
78.0,0.8842,353.0,216.95824479954672,138.95824479954672
178.0,1.1762,612.0,134.41522155107873,-43.58477844892127
300.0,1.3793,798.0,297.34927812733076,-2.650721872669237
